name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Colombo,2022-02-14,91.5,73.5,81.8,97.3,73.5,85.4,72.6,75.9,0.0,0,0.0,,0,0,23.3,13.9,39.5,1007.9,19.1,7.0,258.4,22.5,10,30.0,2022-02-14T06:27:53,2022-02-14T18:21:56,0.42,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-15,91.5,73.5,81.4,95.7,73.5,83.9,69.7,69.9,0.0,0,0.0,,0,0,26.4,12.8,34.7,1008.5,7.2,6.9,285.1,24.8,10,10.0,2022-02-15T06:27:41,2022-02-15T18:22:04,0.45,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-16,91.5,69.9,81.3,94.5,69.9,83.1,68.9,68.8,0.0,0,0.0,,0,0,25.9,13.9,22.9,1006.7,6.6,7.4,287.1,25.0,10,10.0,2022-02-16T06:27:27,2022-02-16T18:22:11,0.5,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-17,91.5,69.9,80.3,96.1,69.9,82.4,69.0,70.5,0.0,0,0.0,,0,0,21.0,13.9,12.3,1006.0,11.0,7.2,279.7,24.1,10,10.0,2022-02-17T06:27:13,2022-02-17T18:22:17,0.52,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-18,89.7,75.3,81.2,98.0,75.3,85.4,72.8,76.9,0.008,0,4.17,rain,0,0,15.7,18.3,338.3,1007.5,24.3,7.0,222.2,19.1,8,10.0,2022-02-18T06:26:58,2022-02-18T18:22:23,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-19,84.2,75.3,79.1,91.2,75.3,81.9,75.6,89.7,4.689,100,8.33,rain,0,0,15.0,9.2,52.5,1009.4,23.1,6.5,208.2,17.9,8,30.0,2022-02-19T06:26:42,2022-02-19T18:22:28,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-20,87.9,71.7,80.0,95.6,71.7,84.7,74.3,84.1,0.0,0,0.0,,0,0,18.8,8.9,357.8,1009.6,16.6,7.5,273.7,23.7,9,30.0,2022-02-20T06:26:25,2022-02-20T18:22:33,0.63,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-21,88.0,75.3,81.6,98.0,75.3,87.5,76.3,84.6,0.0,0,0.0,,0,0,15.2,8.1,239.3,1008.6,9.8,6.9,268.4,23.3,9,30.0,2022-02-21T06:26:08,2022-02-21T18:22:37,0.66,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-22,88.2,75.3,81.3,99.6,75.3,86.1,75.8,84.5,0.0,0,0.0,,0,0,18.3,5.8,276.0,1010.1,11.8,7.1,266.1,23.0,9,30.0,2022-02-22T06:25:50,2022-02-22T18:22:40,0.7,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-23,87.9,73.5,80.4,95.4,73.5,83.6,73.7,81.8,0.232,100,4.17,rain,0,0,16.3,6.9,358.4,1011.3,13.1,6.8,278.2,24.0,10,10.0,2022-02-23T06:25:31,2022-02-23T18:22:43,0.73,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"CEM00043486,43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43486099999,43466099999,CEM00043466"
Colombo,2022-02-24,91.5,75.3,82.5,97.0,75.3,85.6,71.7,72.6,0.01,100,4.17,rain,0,0,18.8,12.8,45.1,1012.0,27.6,7.2,262.8,22.7,9,30.0,2022-02-24T06:25:11,2022-02-24T18:22:45,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-25,93.3,75.3,82.0,100.8,75.3,85.1,71.8,72.6,0.132,100,8.33,rain,0,0,20.8,11.4,44.5,1011.5,24.2,7.5,273.9,23.7,10,60.0,2022-02-25T06:24:51,2022-02-25T18:22:47,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
